action	UP	DOWN	FRONT	BACK	CENTER	PERIPHERY	CONTACT	IN	OUT	SURFACE	CYCLE	S-P-G	NEAR	FAR	explained schema
are_enticed_by,entice,are_wooed_by,woo	1														look up
are_painted_by,paint					-1	1									expressed outside, expanding
are_savaged_by							1								strong physical contact
are_healed_by,heal,cure								1							taken in care
delegate_to					-1	1									send orders out
are_persecuted_by,persecute												1			following multiple steps
appease	-1	1													calm down
are_dispatched_by,dispatch													-1	1	send far away
are_reported_by,report_to,are_informed_by,inform								1							take information in
sweat_for											1				harmful process
care_for,are_cared_for_by,tend,are_tended_by								1							take in care
supply,are_supplied_by,supply_to												1			deliver from to
command,are_commanded_by					-1	1									expanding actions
are_thanked_by	1														look up to
are_disqualified_by,disqualify								-1	1						taken out of a group
consult,consult_with					1										converging discussion
debate,are_debated_by,debate_with,argue_with											1				
deploy,are_deployed_by,are_fielded_by								1							put in a position
lead,are_led_by,guide,are_guided_by													-1	1	set far goals
are_conquered_by,conquer								1							take in a region
receive,are_received_by,give_birth_to								-1	1						
encourage,are_encouraged_by											1				process
are_represented_by,represent										1					show at surface
are_persuaded_by,persuade			1												push own ideas to front
wait_on,are_waited_upon_by													1		attend 
rank												1			put into a sequence of things
are_served_by,serve													1		attend 
manage,are_managed_by											1				recurring provess
pamper,indulge							1								
send													-1	1	send far off
lose_interest_in	-1	1													let interest down
sign_with,are_signed_by								1							sign in
resemble										1					show on surface
intimidate,are_intimidated_by,intimidate_with,threaten_with,threaten,are_threatened_by			1												frontally approach
perform_with,perform_for					-1	1									expanding expression
are_rebuked_by			1												frontally approach
are_failed_by	-1	1													look down to
propose_to	1														from one to another
satirize					-1	1									emphasize and exaggerate one detail
agree_with										1					on the same level
speak_through													1		from few to much detail
are_baptized_by,baptize,baptise								1							being made a small part of large group
are_marketed_by					-1	1									advertise someone
fight_for					-1	1									express a big frustration
chat_with,talk_to,debrief,speak_with,communicate_with,speak_to													1		short lasting conversation of unimportance
are_blessed_by			1												blessing from self to another
reach_out_to			1												
sell_to,buy_from,sell_through,sell_via												1			
are_tipped_by,tip								-1	1						from me to them
whip,are_whipped_by,hit							1								
are_drilled_by											1				
are_trained_by,train,train_with	1														raised while instructed
review,are_reviewed_by												1			as a step in a process
operate_on								-1	1						working precisely / taking something out
are_converted_by,convert											1				turned around
fight,are_fought_by,fight_with,fight_against							1								
are_accommodated_by,accommodate,host								1							take someone in
are_exorcized_by,exorcise								-1	1						take something out of someone
devour			-1	1											take something back
terrorize											1				act after act after act...
nominate,are_nominated_by	1														put someone up for a position
cater_to												1			from A to B
massage							1								
reject,are_rejected_by			1												push away
are_studied_by,study								1							take in information
cast_out													-1	1	push far away
are_spoiled_by,spoil					1										self centered
dislike	-1	1													
deliver_for												1			brought from A to B
apprehend					1										converge to understanding
pick_on	-1	1													make them feel smaller
experiment_on											1				process
translate_for											1				rotate / switch from one language to another
are_radicalized_by					-1	1									expand specific characteristics
tower_over	1														to expand till above someone
are_published_by					-1	1									expand specific characteristics
write_about										1					describe a scene
overcome								-1	1						break out of something
snitch_to													1		move information
tip_off													-1	1	pushing too far
prosecute,are_prosecuted_by												1			examined over multiple instances
are_remembered_by,remember,recall,are_recalled_by													1		draw information from the past / far away
are_energized_by	1														brought up again
hurt,are_hurt_by	-1	1													bring down
snitch_on													1		move information
vote_against	-1	1													turn down vote
build_for										1					building a foundation
are_mystified_by,mystify											1				process
are_accused_by,accuse								1							put someone in doubts
are_championed_by,champion			1												put you in front of someone
are_driven_around_by,are_transported_by,transport,are_driven_by,drive_for												1			
design_for					-1	1									expanding someones values
confess_to								-1	1						unpacking sins
inherit_from	-1	1													pass value down
beautify										1					superficial operation
enhance	1														help someone grow (up)
style_for										1					superficial operation
are_venerated_by	1														look up to someone
leak_to								-1	1						give information out
are_introduced_by								1							in - troduced
are_named_by	-1	1													put a name down on someone
live_with					1										converge to one location
provide_for								1							take in care
renounce	-1	1													letting down
consort_with													1		close conversation
are_rewarded_with								1							take in possession
ordain,are_ordained_by					-1	1									extend own actions
are_appreciated_by													1		bring someone closer
are_sickened_by	-1	1													being pulled down
are_victimized_by													-1	1	being isolated
navigate_for												1			
