Action;Similar;Opposite;A feeling;B feeling
are_monitored_by;are_commanded_by, are_handled_by, are_supervised_by, are_led_by, are_guided_by, are_managed_by, are_guarded_by, are_probed_by, are_studied_by;are_overlooked_by;respected-;attracted+
are_motivated_by;are_roused_by, are_energized_by, are_encouraged_by, are_driven_by, are_influenced_by, are_inspired_by, are_guided_by, are_mentored_by;are_criticized_by, are_suppressed_by, are_subdued_by, are_hindered_by;respected+, supported+;respected++
are_mystified_by;are_intrigued_by, are_lured_by, are_shocked_by, are_enchanted_by;are_bored_with;inspired+, attracted+;
are_named_by;are_remembered_by;are_ignored_by, are_overlooked_by;;
are_nurtured_by;are_raised_by, are_cared_for_by, are_tended_by, are_spoiled_by, are_waited_upon_by;are_tormented_by;supported+;
are_ordained_by;are_blessed_by, are_ennobled_by, are_promoted_by, are_radicalized_by, are_brainwashed_by, are_enlisted_by, are_signed_by;are_excommunicated_by;respected+;respected++
are_overlooked_by;are_overshadowed_by, are_ignored_by, are_underappreciated_by, are_underestimated_by, fail_to_impress;are_named_by, are_picked_by, are_popularized_by, are_appointed_by;respected-;inspired--
are_overrun_by;cede_power_to, are_overwhelmed_by, are_conquered_by, are_defeated_by, are_subjugated_by, are_oppressed_by, are_overshadowed_by, are_overthrown_by;underestimate, overcome, suppress;attacked++, disrespected++;
are_overshadowed_by;are_overlooked_by, are_ignored_by, are_underappreciated_by, are_underestimated_by, fail_to_impress, are_dominated_by, are_subjugated_by, are_overrun_by;tower_over;disrespected++;respected++
are_overwhelmed_by;cede_power_to, are_overrun_by, are_conquered_by, are_defeated_by, are_subjugated_by;underestimate, overcome, suppress;attacked++, disrespected++;
are_owed_by;lend_to, are_refused_payment_by;are_refused_payment_by;disappointed+;
are_picked_by;are_selected_by, are_chosen_by, are_nominated_by;are_ignored_by, are_overlooked_by, are_disqualified_by, are_rejected_by;respected+;respected++
are_popularized_by;are_promoted_by, are_marketed_by, are_favored_by, are_championed_by, are_published_by;are_criticized_by, are_suppressed_by, are_subdued_by, are_booed_by, are_heckled_by;;
are_probed_by;are_interrogated_by, are_studied_by, are_monitored_by, are_examined_by, are_judged_by, are_profiled_by, are_diagnosed_by, are_investigated_by, are_questioned_by, are_read_by, are_reviewed_by;are_complimented_by, are_flattered_by;disrespected+;attracted+
are_profiled_by;are_probed_by, are_studied_by, are_examined_by, are_judged_by, are_diagnosed_by, are_graded_by, are_reviewed_by, are_questioned_by;are_ignored_by, are_overlooked_by;disrespected+;attracted+
are_prosecuted_by;are_pursued_by, are_charged_by, are_accused_by, are_criticized_by, are_sued_by, are_reported_by;are_forgiven_by;attacked+, supported-;disappointed++
are_raised_by;are_nurtured_by, are_cared_for_by, are_tended_by, are_molded_by, are_spoiled_by;are_abandoned_by;supported+;respected++
are_received_by;are_welcomed_by, are_greeted_by, are_accommodated_by, are_introduced_by;are_evicted_by, are_expelled_by;respected+;respected++
are_refused_payment_by;are_underappreciated_by, are_spurned_by, are_rebuffed_by, are_exploited_by, are_used_by, are_cheated_by, are_defrauded_by, are_robbed_by;are_repaid_by;disappointed++, disrespected+;
are_rescued_by;are_saved_by, are_freed_by, are_released_by, are_healed_by;are_killed_by, are_persecuted_by, are_ruined_by;supported++;respected++
are_retained_by;are_hired_by, are_signed_by, are_recruited_by, are_appointed_by, are_selected_by;are_fired_by, are_dismissed_by;;
are_reviewed_by;are_graded_by, are_examined_by, are_judged_by, are_evaluated_by, are_probed_by, are_profiled_by;are_overlooked_by, are_ignored_by;;respected+
are_rewarded_with;;are_unimpressed_with;;
are_robbed_by;are_cheated_by, are_defrauded_by, are_exploited_by, are_victimized_by;profit_from;disrespected+, disappointed++;
are_roused_by;are_motivated_by, are_energized_by, are_radicalized_by, are_encouraged_by, are_inspired_by, are_entertained_by, are_driven_by;are_bored_with, are_disillusioned_by;inspired++;respected+
are_scripted_by;are_brainwashed_by, are_radicalized_by, are_controlled_by, are_commanded_by, are_indoctrinated_by, perform_for;disobey, tune_out;inspired+, disrespected+;respected++
are_selected_by;are_recruited_by, are_picked_by, are_chosen_by, are_elected_by, are_nominated_by, are_retained_by;are_rejected_by, are_disqualified_by;respected+;respected++
are_sickened_by;are_disfigured_by, are_disillusioned_by, are_disgusted_by, are_shocked_by, are_hurt_by, are_traumatized_by, are_tormented_by, are_pushed_too_far_by, are_corrupted_by, are_persecuted_by;are_nurtured_by, are_healed_by;disappointed+++, repelled+++;disrespected+++
are_signed_by;sign_with, are_recruited_by, are_enlisted_by, are_hired_by, are_enslaved_by, are_ordained_by, are_retained_by, are_converted_by;are_rejected_by, are_disqualified_by;respected+;respected++
are_subjugated_by;are_controlled_by, are_conquered_by, are_dominated_by, are_oppressed_by, are_overshadowed_by, are_commanded_by, are_subdued_by, are_suppressed_by, are_overrun_by, are_overwhelmed_by;stand_up_to, rise_against, resist, disobey;inspired--, respected-;respected+
are_summoned_by;answer_to, report_to, are_recalled_by;are_dismissed_by, are_forgotten_by;inspired+;respected++
are_targeted_by;are_threatened_by, are_challenged_by, are_attacked_by;are_overlooked_by;attacked+;inspired-, attracted+
are_tended_by;are_supported_by, are_nurtured_by, are_cared_for_by, are_waited_upon_by, are_supervised_by, are_attended_by, are_raised_by;are_mistreated_by, are_abandoned_by;supported+, respected+;
are_transported_by;are_driven_around_by, are_accompanied_by;are_dumped_by;;
are_traumatized_by;are_sickened_by, are_shocked_by, are_disgusted_by, are_hurt_by, are_bullied_by, are_victimized_by, are_disfigured_by;are_treated_by, are_spoiled_by;attacked+, repelled++;
are_used_by;are_exploited_by, are_tricked_by, are_manipulated_by, are_victimized_by, are_misrepresented_by, are_abused_by, are_enslaved_by, are_mistreated_by, are_overworked_by, are_refused_payment_by;take_advantage_of, are_appreciated_by;respected--;
are_usurped_by;are_deposed_by, are_overthrown_by, are_toppled_by, are_supplanted_by;suppress, subjugate;supported---, attacked+;
are_venerated_by;are_worshipped_by, are_followed_by, are_respected_by, are_loved_by;are_despised_by, are_criticized_by, are_booed_by, are_denounced_by, are_victimized_by;respected+++;inspired+++
are_victimized_by;are_exploited_by, are_hurt_by, are_robbed_by, are_cheated_by, are_tricked_by, are_manipulated_by, are_attacked_by, are_assaulted_by, are_used_by, are_whipped_by, are_traumatized_by, are_ruined_by, are_bullied_by, are_harassed_by, are_humiliated_by, are_stalked_by;are_venerated_by, are_treated_by, are_spoiled_by;attacked+, disrespected++;
are_waited_upon_by;are_tended_by, are_supported_by, are_nurtured_by, are_cared_for_by;are_abandoned_by, are_ignored_by;respected++;
are_wanted_by;are_sought_by, are_chased_by, are_pursued_by, attract, are_pursued_by, are_tracked_by, elude, are_hunted_by, flee_from;are_overlooked_by, are_forgotten_by;repelled+;attracted+
are_whipped_by;are_punished_by, are_scolded_by, are_beaten_by, are_hurt_by, are_bullied_by, are_victimized_by;are_spoiled_by, are_cared_for_by;attacked++, disrespected++;
argue_before;debate, debate_with;are_silenced_by;;respected++
ask_questions_for;act_for, speak_for;misrepresent;;respected+
