Action;Similar;Opposite;A feeling;B feeling
are_trusted_by;trust, are_respected_by, are_admired_by;are_distrusted_by;respected+;
are_disrespected_by;are_mocked_by, are_taunted_by, are_insulted_by, are_bitten_by, are_despised_by;are_respected_by;disrespected++;inspired-
condescend_to;mock, taunt, laugh_at, are_unimpressed_with, are_unimpressed_by, underestimate, humiliate,  preach_to, tower_over, overshadow, criticize;look_up_to;inspired--;disrespected+
are_deceived_by;are_tricked_by, are_defrauded_by, are_cheated_by;are_informed_by;disrespected+, supported-;
disappoint;fail_to_deliver_for, fail_to_impress, are_judged_by, lose_favor_with, disillusion;impress;disrespected+;disappointed+++, supported-
fall_in_love_with;are_moved_by, are_attracted_by, are_lured_by, are_enticed_by, woo, are_seduced_by, marry, love;hate;attracted+++;
are_feared_by;terrorize, tower_over, intimidate, threaten;are_loved_by;respected+;repelled++
are_impressed_by;are_impressed_with, look_up_to;are_unimpressed_by, are_unimpressed_with;inspired++;
are_impressed_with;are_impressed_by, look_up_to;are_unimpressed_by, are_unimpressed_with;inspired++;
are_pushed_too_far_by;lose_faith_in, are_sickened_by, are_disillusioned_by, are_frustrated_by, are_abused_by, are_driven_mad_by, are_overworked_by, are_tormented_by, harden_toward, are_underpaid_by, are_disappointed_by, are_enslaved_by;are_facilitated_by, are_appreciated_by;repelled+;
steal_from;rob, take_advantage_of, borrow_from, defraud, cheat;buy_from, borrow_from;;disrespected+, disappointed++
are_bored_by;are_disillusioned_by, are_disappointed_by, lose_interest_in, are_bored_with, tune_out, are_unimpressed_with, ignore;are_intrigued_by;repelled+;disrespected+
are_worshipped_by;tower_over, are_followed_by, are_supported_by, lead, are_venerated_by, are_admired_by, are_respected_by, are_obeyed_by, are_loved_by;are_humiliated_by, are_feared_by, are_despised_by;respected+++;inspired+++
are_exploited_by;are_defrauded_by, grow_suspicious_of, are_frustrated_by, are_abused_by, are_misrepresented_by, are_underpaid_by, are_cheated_by, are_manipulated_by, are_overworked_by, are_blackmailed_by, are_enslaved_by, are_mistreated_by, are_tormented_by, are_refused_payment_by, are_robbed_by, are_used_by, are_victimized_by;are_facilitated_by, are_appreciated_by;disrespected++, supported-;
fail_to_deliver_for;disappoint, fail_to_impress, lose_favor_with, are_booed_by, disillusion,  cause_trouble_for;impress;;disappointed+++
kill;assassinate, murder, execute, decapitate, sacrifice, blow_up, conquer, are_arrested_for_killing, destroy;rescue, save, nurture, protect;;attacked+++
are_ignored_by;are_spurned_by, are_humiliated_by, are_silenced_by, are_rebuffed_by, are_underappreciated_by, are_forgotten_by, are_disobeyed_by, are_overlooked_by, are_overshadowed_by;are_welcomed_by, are_appreciated_by, attract;disrespected++;
spread_lies_about;misrepresent, campaign_against, brief_against, laugh_at, undermine, joke_about;testify_for, campaign_for;disappointed+;disrespected++
are_underpaid_by;are_exploited_by, are_abused_by, are_overworked_by, are_pushed_too_far_by;are_promoted_by, are_appreciated_by, are_rewarded_by, are_favored_by;disappointed+;disrespected++
beg_forgiveness_from;beg_forgiveness_from, seek_forgiveness_from, seek_sympathy_from;ignore, stand_up_to;;attacked-, respected+
cede_power_to;surrender_to, are_ruined_by, bow_down_to, are_toppled_by, are_supplanted_by, are_deposed_by, lose_to, are_conquered_by, are_overthrown_by, are_overrun_by, are_overwhelmed_by;overthrow, topple, stand_up_to, resist;;attacked--
underestimate;are_unimpressed_by, laugh_at, condescend_to;fear, are_challenged_by, are_frustrated_by, are_overwhelmed_by;;disrespected+
are_betrayed_by;are_abandoned_by, are_supplanted_by, are_ruined_by, are_deposed_by, are_toppled_by, are_tormented_by, are_bitten_by;are_supported_by, are_facilitated_by;repelled++, supported---, disappointed+++;inspired---
are_disgusted_by;are_shocked_by, are_sickened_by, are_traumatized_by, lose_faith_in;love, admire, are_impressed_by;repelled+++;
are_cheated_by;are_exploited_by, are_tricked_by, are_manipulated_by, are_deceived_by, are_robbed_by, are_victimized_by, are_defrauded_by, are_refused_payment_by;are_repaid_by;repelled++, supported--, disappointed++;
are_humiliated_by;are_silenced_by, are_ignored_by, are_embarrassed_by, are_taunted_by, are_mocked_by, are_tormented_by, are_beaten_by, are_punished_by, are_rebuked_by, are_victimized_by;are_flattered_by, are_complimented_by;supported---, attacked+;
are_lectured_by;are_instructed_by, learn_from, study_under, are_indoctrinated_by, are_educated_by, are_coached_by;lecture_to;disrespected+;
are_respected_by;are_admired_by, are_worshipped_by, are_venerated_by, are_trusted_by;are_disrespected_by, are_despised_by;respected++;
are_sued_by;are_attacked_by, are_undermined_by, are_criticized_by, are_accused_by, are_reported_by, are_charged_by, are_prosecuted_by;;attacked+, supported--;
seek_forgiveness_from;beg_forgiveness_from, confess_to;ignore;;attacked-, respected+
manipulate;defraud, exploit, deceive, abuse, take_advantage_of, trick, coerce, lead_astray, blackmail, misrepresent, cheat, control, experiment_on, brainwash, fool;are_manipulated_by;;disrespected+
turn_against;compete_against, break_with, turn_against, betray, rise_against, rebel_against, stand_up_to, resist, snitch_on;bow_down_to, show_loyalty_to, die_for;inspired-, disappointed++;attacked++
are_bought_off_by;are_corrupted_by, are_funded_by, are_financed_by, are_enslaved_by, are_recruited_by, are_enlisted_by, are_persuaded_by;stand_up_to, harden_toward;disrespected+, supported+;
are_upstaged_by;are_supplanted_by, are_toppled_by, are_embarrassed_by;upstage, are_supported_by, overshadow;disrespected++;inspired-
testify_against;brief_against, campaign_against, accuse, denounce, condemn, run_against, snitch_on, vote_against;testify_for;disappointed++;attacked+, supported-
are_unimpressed_by;condescend_to, are_unimpressed_with, underestimate, are_disappointed_by, are_failed_by;are_impressed_by, are_impressed_with;inspired--;respected-, disrespected+
are_moved_by;are_radicalized_by, sympathize_with, agree_with, pity, are_persuaded_by, feel_sorry_for, identify_with;ignore;attracted+;
are_denounced_by;are_ruined_by, are_abandoned_by, are_criticized_by, are_attacked_by, are_insulted_by, are_cursed_by, are_accused_by, alienate;denounce, are_flattered_by, are_complimented_by, are_popularized_by;disrespected+++, supported--;inspired--
are_seduced_by;are_charmed_by, are_attracted_by, are_persuaded_by, are_flattered_by, are_deflowered_by, are_enticed_by, are_brainwashed_by, are_enchanted_by, are_wooed_by, are_lured_by;are_disgusted_by;attracted++, inspired+;attracted+
lead_astray;corrupt, manipulate, deceive, entice, indoctrinate, lie_to, brainwash, fool;inspire, guide;respected+;inspired+
are_insulted_by;are_persecuted_by, are_taunted_by, are_attacked_by, are_criticized_by, are_mocked_by, are_savaged_by, are_cursed_by, are_tormented_by, are_disrespected_by, are_denounced_by, are_despised_by, are_chastised_by, are_heckled_by, are_scolded_by, are_booed_by, are_offended_by, are_rebuked_by;are_flattered_by;attacked+, disrespected++;inspired--
are_blackmailed_by;are_manipulated_by, are_controlled_by, are_scripted_by, are_intimidated_by, are_threatened_by, are_bullied_by, are_bitten_by, are_exploited_by;are_informed_by;attacked+, disrespected+;
are_beaten_by;are_defeated_by, are_punished_by, are_humiliated_by, are_assaulted_by, are_bitten_by, are_conquered_by, are_hurt_by, are_whipped_by, are_supplanted_by, are_deposed_by, lose_to, are_overthrown_by;are_spoiled_by, are_cared_for_by;attacked++;
are_corrupted_by;are_bought_off_by, are_ruined_by, are_sickened_by, are_manipulated_by;are_inspired_by;disrespected+, supported--, attracted+;respected++
are_underappreciated_by;are_ignored_by, are_underestimated_by, are_overworked_by, fail_to_impress, are_resented_by, are_overlooked_by, are_overshadowed_by, are_refused_payment_by;are_appreciated_by;disrespected+;
indoctrinate;command, brainwash, lead_astray, convert, coerce, lead, guide, influence;learn_from, study_under, lose_control_over;respected++;inspired++
impress;inspire, tower_over, rouse, please, overshadow;fail_to_impress, fail_to_deliver_for;respected+;inspired++
lie_to;lead_astray, deceive, trick, defraud, cheat, cheat_on, fool;report_to, confide_in;;disrespected+, disappointed+
show_loyalty_to;look_up_to, bow_down_to, identify_with, support, die_for, fight_for, commit_to, love;betray, cheat_on;inspired+;respected++
stand_up_to;resist, rebel_against, turn_against, lose_faith_in, denounce, rise_against, fight_against,  compete_against, brief_against, struggle_against, challenge;bow_down_to, fear, run_away_from;inspired--;disrespected++
are_attacked_by;are_criticized_by, are_tormented_by, are_assaulted_by, are_persecuted_by, are_bitten_by, are_sued_by, are_denounced_by, are_insulted_by, are_disfigured_by, are_savaged_by, are_fought_by, are_targeted_by, are_victimized_by;are_supported_by, are_facilitated_by;attacked++;
are_obeyed_by;are_supported_by, are_served_by, are_worshipped_by, control;are_disobeyed_by, lose_control_over;respected++;
are_pursued_by;elude, are_chased_by, are_hunted_by, flee_from, are_stalked_by, are_sought_by, are_tracked_by, are_wooed_by, are_wanted_by;are_ignored_by, are_banished_by, are_rebuffed_by;repelled+;attracted++
are_rebuffed_by;are_spurned_by, are_rejected_by, are_abandoned_by, are_ignored_by;attract, are_pursued_by;disrespected++;repelled++
attack;assault, blow_up, fight, devour, insult, criticize, disfigure, destroy, beat_up, hit;support, agree_with;;attacked++
disagree_with;debate, argue_with, are_contradicted_by, debate_with, struggle_with;agree_with, are_persuaded_by;inspired-;disrespected+
identify_with;are_moved_by, agree_with, sympathize_with, show_loyalty_to;are_sickened_by, harden_toward;inspired+;respected+
sleep_with;cheat_with, are_deflowered_by, are_enticed_by, are_kissed_by, consort_with, mate_with;are_ignored_by, are_spurned_by;attracted++;attracted++
are_inspired_by;read_the_works_of, look_up_to, are_roused_by, are_motivated_by, are_energized_by, imitate, are_influenced_by, are_driven_by, worship, believe_in, follow;lose_faith_in, grow_suspicious_of, are_bored_by, are_disillusioned_by;inspired++;
are_manipulated_by;are_exploited_by, are_blackmailed_by, are_controlled_by, are_tricked_by, are_cheated_by, are_corrupted_by, are_defrauded_by, are_tormented_by, are_used_by, are_victimized_by, pose_for;are_helped_by;disrespected+;
are_threatened_by;are_intimidated_by, are_bullied_by, are_harassed_by, are_blackmailed_by, are_targeted_by, fear;are_welcomed_by, are_appreciated_by;attacked+, disrespected+;
campaign_against;fight_against, compete_against, brief_against, vote_against, testify_against, spread_lies_about, argue_with, undermine, condemn, struggle_with;campaign_for, vote_for;inspired-;disrespected+
inspire;impress, attract, rouse, tower_over, encourage, lead, supervise, are_admired_by, guide, influence, are_followed_by, are_imitated_by;disgust, fail_to_impress, disillusion;;inspired++, respected++
are_disillusioned_by;lose_faith_in, are_sickened_by, are_disappointed_by, are_bored_by, are_bored_with, lose_interest_in, are_shocked_by, are_pushed_too_far_by, grow_suspicious_of, renounce;are_inspired_by;disappointed++, inspired--;respected-
are_mocked_by;are_disrespected_by, are_taunted_by, are_humiliated_by, are_bullied_by, are_persecuted_by, are_tormented_by, are_bitten_by, are_insulted_by, are_embarrassed_by, are_heckled_by, are_criticized_by, are_booed_by;are_flattered_by, are_complimented_by;attacked+, disrespected++;inspired-
are_shocked_by;are_disgusted_by, are_sickened_by, are_traumatized_by, are_mystified_by, are_disillusioned_by;are_impressed_by, are_impressed_with, are_charmed_by, are_seduced_by, are_enticed_by;disappointed+++;
insult;heckle, attack, humiliate, embarrass, laugh_at, pick_on, criticize, disrespect, chastise, denounce, mock, taunt, offend, curse, satirize, harass, joke_about;flatter, compliment, charm;;disrespected++, attacked+
spy_on;monitor, observe, supervise, watch_over, stalk, guard, haunt;report_to, confide_in;;disrespected+, supported-
are_rewarded_by;are_appreciated_by, are_favored_by, are_paid_by, are_promoted_by, are_thanked_by, are_tipped_by;are_underpaid_by, are_underappreciated_by;respected+, supported+;respected++
trust;respect, believe_in, confide_in, admire;distrust, lose_faith_in, grow_suspicious_of;;respected+
are_abandoned_by;are_betrayed_by, are_dumped_by, alienate, are_denounced_by, are_expelled_by, are_cut_off_by, are_rebuffed_by, are_divorced_by, are_ruined_by;are_followed_by, are_supported_by, are_helped_by;disappointed++,  supported---;repelled++
are_flattered_by;are_complimented_by, are_charmed_by, are_enticed_by, are_seduced_by, are_wooed_by;are_insulted_by, are_mocked_by, are_taunted_by;respected+, supported+;attracted+
blackmail;coerce, control, manipulate, corrupt, bribe;bribe;;respected-, disrespected+
lick_up_to;kiss_up_to, curry_favor_with, entice, pander_to, bow_down_to, praise, suck_up_to, flatter, compliment, please;condescend_to;inspired+;respected++, inspired-
sue;accuse, testify_against, resent, prosecute, countersue;testify_for;;attacked+, supported--
are_dumped_by;are_abandoned_by, alienate, are_expelled_by, are_cut_off_by, are_divorced_by, are_disqualified_by, are_evicted_by, are_rejected_by;are_loved_by, are_wooed_by;disrespected++,  disappointed+;repelled++, inspired-
are_resisted_by;lose_control_over, struggle_against, are_contradicted_by, are_challenged_by, are_hindered_by, are_fought_by;charm, entice, seduce, control, subjugate;attacked+, supported--;inspired-
deceive;exploit, lie_to, manipulate, trick, defraud, lead_astray, cheat_on, fool;confide_in, confess_to;;disrespected+
humiliate;laugh_at, embarrass, condescend_to, mock, taunt, insult, upstage, offend, undermine, persecute;flatter, compliment, charm, praise;;disrespected++, attacked+
kiss_up_to;lick_up_to, flatter, compliment, curry_favor_with, entice, bow_down_to, pander_to, flirt_with, praise, suck_up_to, woo, please;condescend_to;inspired+;respected++, inspired-
lay_a_trap_for;hunt, entice, seduce, prey_on, track_down, catch, capture;believe_in, trust, welcome;;attacked+
profit_from;take_advantage_of, exploit, invest_in, prey_on, sacrifice;are_cheated_by, are_ruined_by;supported+;
are_arrested_for_killing;kill, murder, assassinate, execute, decapitate;are_forgiven_by;;attacked+++
are_bitten_by;are_savaged_by, are_hurt_by, are_attacked_by, are_assaulted_by, are_disrespected_by, are_betrayed_by, are_blackmailed_by, are_beaten_by, are_mocked_by, are_disfigured_by;are_kissed_by, are_spoiled_by;attacked++, disrespected++;
are_despised_by;are_insulted_by, are_disrespected_by, are_spurned_by, are_cursed_by, are_resented_by;are_loved_by, are_respected_by;disrespected+++, respected---;inspired---
are_favored_by;are_appreciated_by, show_loyalty_to, are_promoted_by, are_championed_by, attract, are_rewarded_by, are_chosen_by, are_blessed_by, are_nominated_by, are_admired_by, are_ennobled_by, are_popularized_by;lose_favor_with;respected++, supported+;respected++
are_misrepresented_by;are_defrauded_by, are_exploited_by, are_undermined_by, are_used_by;are_represented_by;disrespected+, supported-;
learn_from;are_molded_by, are_drilled_by, are_lectured_by, are_taught_by, are_coached_by, study_under, are_informed_by, are_instructed_by;teach;inspired++;
marry;fall_in_love_with, commit_to, mate_with, live_with, love, are_loved_by;divorce;attracted+;attracted+
settle_with;agree_with, are_persuaded_by, pay_off, repay, are_forgiven_by, negotiate_with, deal_with, persuade;sue, disagree_with, refuse_to_pay, argue_with;attacked-;attacked-
are_haunted_by;are_cursed_by, pine_for, are_stalked_by, are_chronicled_by, remember;are_forgotten_by;inspired+;attracted+
are_spurned_by;are_rejected_by, are_rebuffed_by, are_ignored_by, are_cut_off_by, are_despised_by, are_divorced_by, lose_favor_with, are_refused_payment_by;are_stalked_by;disrespected++,  disappointed+;repelled++, inspired-
argue_with;are_debated_by, disagree_with, debate, debate_with, campaign_against, are_contradicted_by, fight, deal_with;agree_with, settle_with;disrespected+;disrespected+
criticize;laugh_at, insult, mock, taunt, condescend_to, are_failed_by, are_disappointed_by, attack, undermine, chastise, denounce, curse, preach_to, satirize;praise, compliment, flatter;inspired-, disappointed+;disrespected++
dump;break_with, break_up_with, let_go_of, cast_out, abandon, break_free_of, divorce, dismiss, excommunicate, exorcise;marry;repelled++, inspired-;disrespected++, disappointed+
run_away_from;hide_from, flee_from, abandon, escape_from, leave_behind;follow, stalk;repelled+++, attacked+;
surrender_to;cede_power_to, bow_down_to, are_defeated_by, lose_to, are_humiliated_by, are_conquered_by;stand_up_to, resist;;attacked---
alienate;are_abandoned_by, are_denounced_by, disgust, are_cursed_by, are_dumped_by, lose_control_over, let_go_of;entice, charm, love;disrespected+;repelled++
are_arrested_for_hurting;beat_up, abuse, hit, attack, assault;are_forgotten_by;;attacked++
fail_to_impress;fail_to_deliver_for, are_judged_by, disappoint, are_underappreciated_by, disgust, are_underestimated_by, are_distrusted_by, are_forgotten_by, are_criticized_by, lose_favor_with, are_booed_by, disillusion, are_overlooked_by, are_overshadowed_by, cause_trouble_for;impress;;inspired--, disappointed++
threaten;intimidate, harass, pick_on, persecute, abuse, torment, bully, are_feared_by, terrorize, tower_over;flatter, compliment, charm;;attacked+, disrespected+
are_fired_by;are_ejected_by, are_expelled_by, are_dismissed_by, are_cut_off_by, are_banished_by, are_excommunicated_by;are_promoted_by, are_appreciated_by, are_rewarded_by;disrespected+;inspired--, disappointed++
bow_down_to;cede_power_to, show_loyalty_to, obey, curry_favor_with, kiss_up_to, lick_up_to, commit_to, worship, pray_to, surrender_to, lose_to;stand_up_to, harden_toward;inspired++;attacked--
curry_favor_with;flatter, compliment, kiss_up_to, bow_down_to, lick_up_to, pander_to, flirt_with, praise, suck_up_to, woo, please, spoil;insult, laugh_at, mock, taunt, condescend_to;inspired+;respected++, inspired-
disgust;alienate, fail_to_impress;attract, charm, entice, seduce;;repelled+++
listen_to;share_stories_with, welcome, are_begged_by, are_mentored_by, communicate_with;ignore, silence, tune_out;;respected+
lose_faith_in;renounce, are_disillusioned_by, lose_interest_in, are_disgusted_by, are_shocked_by, break_with, harden_toward, grow_suspicious_of, are_pushed_too_far_by, stand_up_to, are_hardened_by, vote_against;believe_in, worship;disappointed++, inspired--;
misrepresent;manipulate, take_advantage_of, spread_lies_about, undermine, trick, fool;obey, show_loyalty_to;;disrespected+, supported-, disappointed++
take_advantage_of;profit_from, exploit, defraud, control, misrepresent, fail_to_reward, steal_from, manipulate, cheat, overwork, enslave, sacrifice, experiment_on, molest, rob;reward, appreciate, show_loyalty_to;;disrespected+, supported-
work_for;serve, create_for, cook_for, design_for, are_used_by, support, obey, are_hired_by, are_managed_by, assist, shill_for, labor_for, are_recruited_by, sign_with, sweat_for, deliver_for, represent, build_for, carry_for, farm_for, work_under;fail_to_deliver_for;respected+;respected++
are_dismissed_by;are_fired_by, are_defrocked_by, are_silenced_by, are_censured_by, are_expelled_by, are_ejected_by, are_banished_by, are_excommunicated_by, are_disqualified_by;are_promoted_by, are_appreciated_by, are_rewarded_by, are_summoned_by;disrespected++;disappointed++
are_tricked_by;are_cheated_by, are_defrauded_by, are_manipulated_by, are_deceived_by, are_lured_by, are_used_by, are_victimized_by;are_respected_by;disappointed++, inspired--, disrespected++;respected+
are_underestimated_by;are_underappreciated_by, fail_to_impress, are_forgotten_by, are_overlooked_by, are_overshadowed_by;are_appreciated_by;disrespected+;inspired--
escape_from;flee_from, break_with, hide_from, run_away_from, leave_behind, break_free_of, elude, are_released_by, break_up_with;follow, stalk;repelled+++, attacked+;
look_up_to;are_inspired_by, are_impressed_by, worship, imitate, are_impressed_with, show_loyalty_to, believe_in, admire, respect, are_mentored_by;condescend_to;inspired++;respected++
pay_off;bribe, settle_with, buy_off, repay, appease, invest_in, pay;refuse_to_pay;;
resent;hate, disrespect, are_unimpressed_with, are_unimpressed_by, are_disgusted_by, despise, sue, struggle_against;respect;inspired--, disappointed+++;disrespected++
worship;pray_to, sacrifice_to, are_inspired_by, follow, bow_down_to, look_up_to, believe_in, serve, die_for, admire, love, respect;hate, are_disgusted_by, despise;inspired+++;respected+++
are_killed_by;are_defeated_by, are_savaged_by, are_ruined_by;are_healed_by;attacked+++;
are_promoted_by;are_marketed_by, are_appointed_by, impress, are_appreciated_by, are_rewarded_by, are_ennobled_by, are_favored_by, are_complimented_by, are_championed_by, are_ordained_by, are_popularized_by;are_dismissed_by, are_fired_by, are_underappreciated_by, are_overlooked_by;respected+, supported++;
are_stalked_by;are_tormented_by, are_hunted_by, are_persecuted_by, are_tracked_by, are_pursued_by, are_haunted_by, are_investigated_by, are_sought_by, are_victimized_by;are_ignored_by, are_banished_by, are_forgotten_by;attacked+;attracted++
are_taunted_by;are_booed_by, are_bullied_by, are_harassed_by, are_persecuted_by, are_intimidated_by, are_tormented_by, are_heckled_by, are_challenged_by, are_disrespected_by, are_humiliated_by, are_insulted_by, are_mocked_by, are_cursed_by, are_embarrassed_by, are_criticized_by, are_contradicted_by;are_complimented_by, are_flattered_by;disrespected++;inspired--
betray;testify_against, supplant, snitch_on, are_arrested_for_killing, break_with, overthrow, execute, turn_against, rise_against, rebel_against;show_loyalty_to, die_for, commit_to;inspired---;repelled++, supported---, disappointed+++
pander_to;spoil, cater_to, curry_favor_with, kiss_up_to, lick_up_to, serve, tend, pamper, wait_on, attend, massage, attend_to, cook_for, indulge, please;discipline, scold, chastise;respected-;respected++
rise_against;rebel_against, stand_up_to, are_disillusioned_by, turn_against, are_pushed_too_far_by, betray, fight_against, disobey, resist, struggle_against;bow_down_to;inspired---;respected---, attacked++
abuse;persecute, harass, bully, rule_over, manipulate, exploit, mock, beat_up, hit, prey_on, molest, threaten, torment, terrorize, kill, are_arrested_for_hurting, heckle, punish, overwork, take_aim_at, sacrifice, starve, torture, hurt, pick_on, whip, assault;respect, pander_to;;attacked+, respected--
are_concerned_about;monitor, observe, watch_over, care_for, pray_for;ignore, tune_out;;respected-, supported+
are_pitied_by;obtain_sympathy_from;are_taunted_by, are_mocked_by;respected--, supported+;
eject;cast_out, abandon, dismiss, reject, fire, divorce, disqualify, rebuff;welcome;repelled+++;respected--
hate;resent, are_disgusted_by, despise, curse, dislike;love, respect;repelled++, inspired--;respected---
pine_for;cry_for, are_haunted_by, mourn_for, remember;tune_out;attracted+;
promote;favor, champion, praise, appoint, encourage, popularize;fire, dismiss, underestimate;;respected+, supported++
silence;suppress, censure, tune_out, repress;listen_to;inspired-;respected--
sympathize_with;identify, are_moved_by, are_radicalized_by, identify_with, feel_sorry_for, cry_for, forgive, pity;mock, taunt, laugh_at;;respected+, supported+
undermine;reject, criticize, misrepresent, fight_against, brief_against, testify_against, laugh_at, campaign_against, spread_lies_about, snitch_on, joke_about, humiliate, ;support, agree_with;;supported--, respected-, attacked+
are_brainwashed_by;are_indoctrinated_by, are_scripted_by, are_radicalized_by, are_seduced_by, are_molded_by, die_for, kill_for, are_persuaded_by, are_controlled_by, are_enlisted_by, are_ordained_by;brief_against, disagree_with, resist, fight_against;inspired+++;respected++
are_entertained_by;are_energized_by, are_roused_by, laugh_at;are_bored_with;attracted+, inspired+;
cheat;defraud, steal_from, rob, manipulate, cheat_on, take_advantage_of, lie_to, trick, fool;reward;;repelled++, supported--, disappointed++
exploit;deceive, defraud, manipulate, abuse, attack, prey_on, take_advantage_of, profit_from, harass, overwork, sacrifice, experiment_on, fool, molest, rob;respect, pander_to;;disrespected++, supported-
flirt_with;compliment, kiss_up_to, curry_favor_with, entice, are_kissed_by, are_wooed_by, woo, pick_up;ignore, tune_out;attracted++;attracted+
are_abused_by;are_exploited_by, are_underpaid_by, are_used_by, are_overworked_by, are_bullied_by, are_heckled_by, are_persecuted_by, are_pushed_too_far_by, are_disfigured_by, are_enslaved_by, are_mistreated_by, are_offended_by, are_tormented_by, are_frustrated_by, are_hurt_by, are_harassed_by;are_respected_by;attacked+, respected--;
are_attracted_by;are_enticed_by, are_seduced_by, are_charmed_by, fall_in_love_with, are_intrigued_by, love, are_enchanted_by, are_lured_by;are_disgusted_by, lose_interest_in;attracted++;
are_cursed_by;are_denounced_by, are_savaged_by, are_taunted_by, are_heckled_by, are_despised_by, are_insulted_by, are_persecuted_by, are_haunted_by, alienate, are_ruined_by, are_tormented_by;are_complimented_by, are_flattered_by;attacked++, supported--;repelled++
are_defeated_by;lose_to, are_beaten_by, are_ruined_by, surrender_to, are_conquered_by, are_killed_by, are_subdued_by, are_overrun_by, are_overwhelmed_by, are_overthrown_by, are_toppled_by;defeat, subjugate;attacked+++;respected+
are_disappointed_by;are_disillusioned_by, are_bored_by, are_pushed_too_far_by, are_hindered_by, are_bored_with, are_unimpressed_by, criticize, are_unimpressed_with, are_failed_by, are_frustrated_by;are_impressed_by, are_impressed_with;disappointed++;
are_distrusted_by;fail_to_impress, are_resented_by, disappoint, are_investigated_by;are_trusted_by;disrespected+;
are_embarrassed_by;are_humiliated_by, are_beaten_by, are_mocked_by, are_taunted_by, are_undermined_by, are_upstaged_by;are_impressed_by, are_impressed_with;disappointed+, inspired--;disrespected+
are_indoctrinated_by;are_brainwashed_by, are_radicalized_by, are_scripted_by, are_persuaded_by, are_lectured_by, are_charmed_by, are_taught_by, are_controlled_by, are_drilled_by, are_educated_by;resist, disagree_with, brief_against;inspired+++;respected++
are_toppled_by;are_deposed_by, cede_power_to, are_overthrown_by, are_supplanted_by, are_betrayed_by, are_usurped_by, are_upstaged_by;defeat, subjugate;attacked++, disrespected+++, supported---;inspired---
break_with;cast_out, denounce, renounce, turn_against, are_disillusioned_by, escape_from, dump, break_up_with, let_go_of, lose_faith_in, cast_off, betray, break_free_of, divorce, abandon;are_moved_by, fight_with;repelled++, inspired--;
bribe;buy_off, pay_off, coerce, appease, corrupt, blackmail;refuse_to_pay;;disrespected+, supported+
disrespect;insult, laugh_at, mock, taunt, heckle, challenge, pick_on, resent, offend, despise, joke_about;respect, curry_favor_with;inspired-;disrespected++
fear;are_intimidated_by, are_bullied_by, are_harassed_by, are_threatened_by, are_overshadowed_by;love, underestimate, laugh_at;repelled++;respected+
fight_against;fight, campaign_against, resist, destroy, undermine, compete_against, struggle_against, stand_up_to, rise_against, brief_against, struggle_with, run_against, play_against;fight_with, fight_for;inspired-, repelled++;attacked++
hide_from;abandon, escape_from, run_away_from, flee_from, elude, avoid, are_hunted_by, leave_behind;follow, live_with;repelled++;attracted+
lose_control_over;are_disrespected_by, are_disobeyed_by, alienate, are_resisted_by, disillusion;are_obeyed_by, control, command, dominate;disrespected++, disappointed++;inspired--
obey;serve, support, work_for, are_commanded_by, labor_for, answer_to, sweat_for, bow_down_to, are_ruled_by, follow, work_under;disobey, rebel_against, resist;;respected++, supported+
praise;flatter, compliment, kiss_up_to, lick_up_to, curry_favor_with, suck_up_to, promote, favor;insult, laugh_at, mock, taunt, condescend_to;attracted+;respected++, supported+
refuse_to_pay;fail_to_reward, withhold_payment_from;pay;disappointed+;supported-, respected-
release;free, let_go_of, cast_out, dismiss, fire, rescue, unleash;enslave, detain, imprison;;attacked-, supported+
stalk;hunt, spy_on, monitor, watch_over, prey_on;lose_interest_in;attracted++;attacked+
subjugate;subdue, conquer, command, rule, rule_over, suppress, repress, defeat, dominate, oppress;bow_down_to, cede_power_to;respected+;inspired--
are_chastised_by;are_scolded_by, are_booed_by, are_heckled_by, are_criticized_by, are_insulted_by, are_punished_by, are_censured_by, are_excommunicated_by, are_expelled_by, are_rebuked_by;are_flattered_by, are_complimented_by;respected-, attacked+;disappointed++
are_disfigured_by;are_hurt_by, are_bitten_by, are_attacked_by, are_abused_by, are_savaged_by, are_sickened_by, are_assaulted_by, are_traumatized_by;are_popularized_by, are_marketed_by;attacked++;
are_forgotten_by;are_ignored_by, are_underestimated_by, fail_to_impress;are_remembered_by, are_chronicled_by;respected--, disappointed++;inspired--
believe_in;are_inspired_by, are_converted_by, look_up_to, worship, fight_for, campaign_for, testify_for, trust, confide_in, serve, die_for, commit_to, admire, follow, respect, vote_for, defend, invest_in, guarantee;lose_faith_in, are_disillusioned_by;inspired++;respected++
break_free_of;escape_from, flee_from, break_with, leave_behind, abandon, dump, divorce, break_up_with, cast_out;bow_down_to, cede_power_to;repelled+++, attacked+, inspired-;
chastise;punish, censure, criticize, insult, discipline;flatter, compliment, pander_to;disappointed++;respected-, attacked+
disfigure;attack, devour, hurt, beat_up, assault;enhance, beautify;;attacked++
obtain_sympathy_from;are_pitied_by, are_forgiven_by, appeal_to;are_ignored_by, are_forgotten_by, are_silenced_by;supported+;
punish;discipline, abuse, whip, heckle, chastise, beat_up, hurt, assault;reward, appreciate;disappointed++;respected--, attacked++
suck_up_to;lick_up_to, flatter, compliment, kiss_up_to, curry_favor_with, entice, praise, propagandize_for, please, spoil;condescend_to;inspired+;respected++, inspired-
take_up_with;live_with, accompany, consort_with, work_with, conspire_with;dump;attracted++;
