action	A (***strong, **medium, *weak)	B (***strong, **medium, *weak)
embarrass		***animations/Stand/Reactions/SeeSomething_7, **animations/Stand/Emotions/Negative/Bored_1, *animations/Stand/Emotions/Negative/Sad_2, **animations/Stand/Emotions/Negative/Disappointed_1, **animations/Stand/Emotions/Negative/Bored_2, **animations/Stand/Emotions/Neutral/Innocent_1, **animations/Stand/Emotions/Neutral/Lonely_1
are_rebuffed_by	**animations/Stand/Reactions/SeeSomething_7, *animations/Stand/Gestures/Angry_3, **animations/Stand/Gestures/No_9	
rebuff	**animations/Stand/Gestures/No_1, **animations/Stand/Gestures/This_13, **animations/Stand/Gestures/No_3, **animations/Stand/Gestures/No_9, ***animations/Stand/Gestures/Reject_4	**animations/Stand/Reactions/SeeSomething_7, *animations/Stand/Gestures/Angry_3
are_rebuked_by	**animations/Stand/Reactions/SeeSomething_7	
are_enslaved_by	***animations/Stand/Reactions/SeeSomething_4, *animations/Stand/Waiting/BackRubs_1	
enslave		***animations/Stand/Reactions/SeeSomething_4, *animations/Stand/Waiting/BackRubs_1
are_imprisoned_by	***animations/Stand/Reactions/SeeSomething_4	
imprison		***animations/Stand/Reactions/SeeSomething_4
are_detained_by	***animations/Stand/Reactions/SeeSomething_4	
detain		***animations/Stand/Reactions/SeeSomething_4
take_as_prisoner		***animations/Stand/Reactions/SeeSomething_4
arrest		***animations/Stand/Reactions/SeeSomething_4
decapitate	***iconic_actions-4373e0/kill	
murder	***iconic_actions-4373e0/kill	
kill_for	***iconic_actions-4373e0/kill	
kill	***iconic_actions-4373e0/kill	
are_killed_by		***iconic_actions-4373e0/kill
are_arrested_for_killing	***animations/Stand/Reactions/SeeSomething_4	
are_arrested_for_hurting	***animations/Stand/Reactions/SeeSomething_4	
are_ennobled_by	***animations/Stand/Reactions/SeeSomething_4, ***animations/Stand/Gestures/Salute_3, ***animations/Stand/Gestures/Salute_1, ***animations/Stand/Gestures/Salute_2	
are_evicted_by	**animations/Stand/Reactions/SeeSomething_4	
evict		**animations/Stand/Reactions/SeeSomething_4
are_inspired_by	***animations/Stand/Reactions/SeeColor_1, *animations/Stand/Reactions/EthernetOn_1, ***animations/Stand/Reactions/SeeColor_2, *animations/Stand/Reactions/TouchHead_4, ***animations/Stand/Emotions/Neutral/Puzzled_1, **animations/Stand/Waiting/LookHand_1, **animations/Stand/Waiting/Think_4, **animations/Stand/Waiting/LookHand_2, ***animations/Stand/Waiting/Think_3, ***animations/Stand/Waiting/Think_2	
inspire	**animations/Stand/Waiting/ShowSky_2, **animations/Stand/Waiting/ShowSky_1, **animations/Stand/Gestures/ShowSky_8, **animations/Stand/Gestures/Hey_6	***animations/Stand/Reactions/SeeColor_1, *animations/Stand/Reactions/EthernetOn_1, ***animations/Stand/Reactions/SeeColor_2, *animations/Stand/Reactions/TouchHead_4, ***animations/Stand/Emotions/Neutral/Puzzled_1, **animations/Stand/Waiting/LookHand_1, **animations/Stand/Waiting/Think_4, **animations/Stand/Waiting/LookHand_2, **animations/Stand/Waiting/Think_1, ***animations/Stand/Waiting/Think_3, ***animations/Stand/Waiting/Think_2
grow_suspicious_of	***animations/Stand/Reactions/SeeColor_1, ***animations/Stand/Reactions/SeeColor_2, *sound:animations/Stand/Emotions/Neutral/Hesitation_1, ***animations/Stand/Emotions/Neutral/Cautious_1, **animations/Stand/Emotions/Neutral/Suspicious_1, ***animations/Stand/Emotions/Neutral/Puzzled_1, **animations/Stand/Waiting/Think_4, **animations/Stand/Waiting/Think_1, ***animations/Stand/Waiting/Think_3, ***animations/Stand/Waiting/Think_2	
are_impressed_by	**animations/Stand/Reactions/SeeColor_1, *animations/Stand/Reactions/ShakeBody_3, **animations/Stand/Reactions/SeeColor_2, ***animations/Stand/Emotions/Negative/Shocked_1, **animations/Stand/Emotions/Positive/Ecstatic_1, ***animations/Stand/Emotions/Positive/Excited_3, **animations/Stand/Emotions/Positive/Excited_1, **animations/Stand/Emotions/Neutral/Puzzled_1, **animations/Stand/Emotions/Neutral/Alienated_1, **animations/Stand/Waiting/Think_4, *animations/Stand/Waiting/Think_4, **animations/Stand/Waiting/Think_1, *animations/Stand/Waiting/Think_1, **animations/Stand/Waiting/Think_3, **animations/Stand/Waiting/Think_2, **animations/Stand/Gestures/YouKnowWhat_1, **animations/Stand/Gestures/Confused_1, **animations/Stand/Gestures/Stretch_2	
impress	**animations/Stand/Gestures/ShowSky_4	**animations/Stand/Reactions/SeeColor_1, *animations/Stand/Reactions/ShakeBody_3, **animations/Stand/Reactions/SeeColor_2, ***animations/Stand/Emotions/Negative/Shocked_1, **animations/Stand/Emotions/Positive/Ecstatic_1, ***animations/Stand/Emotions/Positive/Excited_3, **animations/Stand/Emotions/Positive/Excited_1, **animations/Stand/Emotions/Neutral/Puzzled_1, **animations/Stand/Emotions/Neutral/Alienated_1, **animations/Stand/Waiting/Think_4, *animations/Stand/Waiting/Think_4, **animations/Stand/Waiting/Think_1, *animations/Stand/Waiting/Think_1, **animations/Stand/Waiting/Think_3, **animations/Stand/Waiting/Think_2, **animations/Stand/Gestures/YouKnowWhat_1, **animations/Stand/Gestures/Confused_1, **animations/Stand/Gestures/Stretch_2
are_examined_by	**animations/Stand/Reactions/SeeSomething_1, **animations/Stand/Reactions/SeeSomething_3	**animations/Stand/Reactions/SeeColor_1, **animations/Stand/Reactions/SeeColor_2, **animations/Stand/Emotions/Neutral/Puzzled_1, **animations/Stand/Waiting/Think_4, *animations/Stand/Waiting/Think_4, *animations/Stand/Waiting/Think_1, **animations/Stand/Waiting/Think_3, **animations/Stand/Waiting/Think_2
disagree_with	***animations/Stand/Reactions/TouchHead_1, ***animations/Stand/Reactions/ShakeBody_1, *sound:animations/Stand/Emotions/Neutral/AskForAttention_3, *sound:animations/Stand/Emotions/Neutral/AskForAttention_1, **animations/Stand/Emotions/Neutral/Annoyed_1, ***animations/Stand/Gestures/No_2, *animations/Stand/Gestures/Explain_4, ***animations/Stand/Gestures/Enthusiastic_3, *animations/Stand/Gestures/No_5, **animations/Stand/Gestures/Explain_3, ***animations/Stand/Gestures/No_1, **animations/Stand/Gestures/CalmDown_2, *animations/Stand/Gestures/This_4, **animations/Stand/Gestures/YouKnowWhat_5, ***animations/Stand/Gestures/No_3, ***animations/Stand/Gestures/No_9, *animations/Stand/Gestures/Nothing_2, *animations/Stand/Gestures/No_7, **animations/Stand/Gestures/YouKnowWhat_3, ***animations/Stand/Gestures/No_8, **animations/Stand/Gestures/No_6, **animations/Stand/Gestures/IDontKnow_4, **animations/Stand/Gestures/Desperate_3	
are_disqualified_by		**animations/Stand/Reactions/TouchHead_1, **animations/Stand/Reactions/ShakeBody_1, **animations/Stand/Gestures/No_1
disqualify	**animations/Stand/Reactions/TouchHead_1, **animations/Stand/Reactions/ShakeBody_1, **animations/Stand/Gestures/No_1	
are_driven_mad_by	**animations/Stand/Reactions/ShakeBody_3, ***sound:animations/Stand/Emotions/Negative/Angry_2, ***sound:animations/Stand/Emotions/Negative/Angry_4, ***animations/Stand/Emotions/Negative/Hurt_1, ***sound:animations/Stand/Emotions/Negative/Hurt_2, ***sound:animations/Stand/Emotions/Negative/Angry_1, ***animations/Stand/Emotions/Neutral/Confused_1	
alienate	*animations/Stand/Reactions/ShakeBody_3	
are_exploited_by	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1	
exploit		**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1
are_abused_by	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1	
abuse		**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1
prey_on		**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1
coerce		**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1
are_humiliated_by	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1, ***animations/Stand/Emotions/Negative/Bored_1, ***animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1	
humiliate	**sound:animations/Stand/Emotions/Positive/Laugh_1, *sound:animations/Stand/Emotions/Positive/Laugh_3	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1, ***animations/Stand/Emotions/Negative/Bored_1, ***animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1
are_denounced_by	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1, ***animations/Stand/Emotions/Negative/Bored_1, ***animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1	
denounce	**animations/Stand/Gestures/No_4	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1, ***animations/Stand/Emotions/Negative/Bored_1, ***animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1
are_taunted_by	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1, **animations/Stand/Waiting/ShowMuscles_5, **sound:animations/Stand/Waiting/ShowMuscles_4	
taunt	**animations/Stand/Waiting/ShowMuscles_5, **sound:animations/Stand/Waiting/ShowMuscles_4	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1
laugh_at	***sound:animations/Stand/Emotions/Positive/Laugh_2, ***sound:animations/Stand/Emotions/Positive/Mocker_1, **sound:animations/Stand/Emotions/Positive/Amused_1, ***sound:animations/Stand/Emotions/Positive/Laugh_1, **sound:animations/Stand/Emotions/Positive/Laugh_3	**animations/Stand/Reactions/Heat_2, **animations/Stand/Reactions/Heat_1
are_overrun_by	*animations/Stand/Reactions/Heat_2, *animations/Stand/Reactions/Heat_1, **sound:animations/Stand/Emotions/Negative/Hurt_2, *animations/Stand/Gestures/Everything_5	
mourn_for	**animations/Stand/Reactions/ShakeBody_2, ***sound:animations/Stand/Emotions/Negative/Sad_1, *animations/Stand/Gestures/Please_2	
are_contradicted_by	***animations/Stand/Gestures/No_9, *animations/Stand/Gestures/Nothing_2	***animations/Stand/Reactions/ShakeBody_1, ***animations/Stand/Gestures/No_2, *animations/Stand/Gestures/No_5, ***animations/Stand/Gestures/No_3, **animations/Stand/Gestures/No_8
dislike	**animations/Stand/Reactions/ShakeBody_1, **animations/Stand/Emotions/Negative/Humiliated_1, **animations/Stand/Gestures/Enthusiastic_3, **animations/Stand/Gestures/No_1, ***animations/Stand/Gestures/No_8, **animations/Stand/Gestures/No_6, **animations/Stand/Gestures/Desperate_5, **animations/Stand/Gestures/Desperate_1, ***animations/Stand/Gestures/Desperate_3	
are_uncovered_by	**sound:animations/Stand/Emotions/Negative/Fear_2, **sound:animations/Stand/Emotions/Negative/Surprise_1, *sound:animations/Stand/Emotions/Negative/Fear_1, *sound:animations/Stand/Emotions/Negative/Surprise_3, *sound:animations/Stand/Emotions/Negative/Surprise_2, **animations/Stand/Emotions/Neutral/Cautious_1, *animations/Stand/Gestures/Everything_3	
wait_on	***animations/Stand/Emotions/Negative/Late_1, *animations/Stand/Waiting/Waddle_2, *animations/Stand/Gestures/Thinking_6, *animations/Stand/Gestures/Thinking_5, **animations/Stand/Gestures/YouKnowWhat_4	
are_waited_upon_by		***animations/Stand/Emotions/Negative/Late_1, *animations/Stand/Waiting/Waddle_2, *animations/Stand/Gestures/Thinking_6, *animations/Stand/Gestures/Thinking_5, **animations/Stand/Gestures/YouKnowWhat_4
paint	***iconic_actions-4373e0/paint	
are_painted_by		***iconic_actions-4373e0/paint
beg_forgiveness_from	**animations/Stand/Emotions/Negative/Sorry_1, **animations/Stand/Waiting/Innocent_1, ***animations/Stand/Gestures/Please_1, *animations/Stand/Gestures/JointHands_2, **animations/Stand/Gestures/Please_2, *animations/Stand/Gestures/Confused_2	
are_begged_by	*animations/Stand/Gestures/Confused_2	**animations/Stand/Emotions/Negative/Sorry_1, **animations/Stand/Waiting/Innocent_1, ***animations/Stand/Gestures/Please_1, *animations/Stand/Gestures/JointHands_2, **animations/Stand/Gestures/Please_2
seek_forgiveness_from	**animations/Stand/Emotions/Negative/Sorry_1, **animations/Stand/Waiting/Innocent_1, ***animations/Stand/Gestures/Please_1, *animations/Stand/Gestures/JointHands_2, **animations/Stand/Gestures/Please_2, *animations/Stand/Gestures/Confused_2	
are_cut_off_by	**animations/Stand/Gestures/No_3	*sound:animations/Stand/Emotions/Negative/Angry_3, **sound:animations/Stand/Emotions/Neutral/AskForAttention_3, **sound:animations/Stand/Emotions/Neutral/AskForAttention_1, *animations/Stand/Gestures/No_1, **animations/Stand/Gestures/OnTheEvening_4, *animations/Stand/Gestures/CalmDown_2
are_bored_by	***animations/Stand/Emotions/Negative/Bored_1, ***animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1, *animations/Stand/Waiting/ScratchEye_1, *animations/Stand/Waiting/ScratchBottom_1, *animations/Stand/Waiting/Relaxation_4, *animations/Stand/Gestures/Maybe_1, **animations/Stand/Gestures/Desperate_4, *animations/Stand/Gestures/Thinking_3, *animations/Stand/Gestures/IDontKnow_3	
are_bored_with	***animations/Stand/Emotions/Negative/Bored_1, ***animations/Stand/Emotions/Negative/Bored_2, **sound:animations/Stand/Emotions/Negative/Exhausted_2, **animations/Stand/Emotions/Negative/Exhausted_1, *animations/Stand/Waiting/ScratchEye_1, *animations/Stand/Waiting/ScratchBottom_1, *animations/Stand/Waiting/Relaxation_4, *animations/Stand/Gestures/Maybe_1, **animations/Stand/Gestures/Desperate_4, *animations/Stand/Gestures/Thinking_3, *animations/Stand/Gestures/IDontKnow_3	
are_unimpressed_by	**animations/Stand/Emotions/Negative/Bored_1, *animations/Stand/Emotions/Negative/Sad_2, **animations/Stand/Emotions/Negative/Disappointed_1, **animations/Stand/Emotions/Negative/Bored_2, ***sound:animations/Stand/Emotions/Negative/Frustrated_1, **animations/Stand/Waiting/Waddle_2, *animations/Stand/Waiting/ScratchBottom_1, *animations/Stand/Waiting/Relaxation_4, **animations/Stand/Gestures/Maybe_1, *animations/Stand/Gestures/Desperate_4, *animations/Stand/Gestures/IDontKnow_2, **animations/Stand/Gestures/WhatSThis_12, **animations/Stand/Gestures/WhatSThis_13, *animations/Stand/Gestures/WhatSThis_16, *animations/Stand/Gestures/YouKnowWhat_4, *animations/Stand/Gestures/IDontKnow_3	
are_unimpressed_with	***sound:animations/Stand/Emotions/Negative/Frustrated_1, **animations/Stand/Waiting/Waddle_2, *animations/Stand/Waiting/ScratchBottom_1, *animations/Stand/Waiting/Relaxation_4, **animations/Stand/Gestures/Maybe_1, *animations/Stand/Gestures/Desperate_4, *animations/Stand/Gestures/IDontKnow_2, **animations/Stand/Gestures/WhatSThis_12, **animations/Stand/Gestures/WhatSThis_13, *animations/Stand/Gestures/WhatSThis_16, *animations/Stand/Gestures/YouKnowWhat_4, *animations/Stand/Gestures/IDontKnow_3	**animations/Stand/Emotions/Negative/Bored_1, *animations/Stand/Emotions/Negative/Sad_2, **animations/Stand/Emotions/Negative/Disappointed_1, **animations/Stand/Emotions/Negative/Bored_2
fail_to_impress		**animations/Stand/Emotions/Negative/Bored_1, *animations/Stand/Emotions/Negative/Sad_2, **animations/Stand/Emotions/Negative/Disappointed_1, **animations/Stand/Emotions/Negative/Bored_2, ***sound:animations/Stand/Emotions/Negative/Frustrated_1, **animations/Stand/Waiting/Waddle_2, **animations/Stand/Gestures/Maybe_1, *animations/Stand/Gestures/Desperate_4, *animations/Stand/Gestures/IDontKnow_2, **animations/Stand/Gestures/WhatSThis_12, **animations/Stand/Gestures/No_6, *animations/Stand/Gestures/IDontKnow_3, **animations/Stand/Gestures/IDontKnow_1, **animations/Stand/Gestures/Desperate_3
cry_for	***sound:animations/Stand/Emotions/Negative/Sad_1, **animations/Stand/Waiting/Binoculars_1	
are_abandoned_by	**sound:animations/Stand/Emotions/Negative/Sad_1, **animations/Stand/Emotions/Neutral/Innocent_1, ***animations/Stand/Emotions/Neutral/Lonely_1	
abandon	**animations/Stand/Gestures/IDontKnow_4	**sound:animations/Stand/Emotions/Negative/Sad_1, **animations/Stand/Emotions/Neutral/Innocent_1, ***animations/Stand/Emotions/Neutral/Lonely_1
anger	***sound:animations/Stand/Emotions/Negative/Angry_2, ***sound:animations/Stand/Emotions/Negative/Angry_4, ***animations/Stand/Emotions/Negative/Hurt_1, ***sound:animations/Stand/Emotions/Negative/Angry_1	
cause_trouble_for		*sound:animations/Stand/Emotions/Negative/Angry_2, *animations/Stand/Emotions/Negative/Hurt_1, *sound:animations/Stand/Emotions/Negative/Angry_1, **animations/Stand/Emotions/Neutral/Confused_1
campaign_against	***sound:animations/Stand/Emotions/Negative/Angry_4, **sound:animations/Stand/Emotions/Positive/Winner_1, **animations/Stand/Waiting/Headbang_1	
rise_against	***sound:animations/Stand/Emotions/Negative/Angry_4, **animations/Stand/Waiting/Headbang_1	
rebel_against	***sound:animations/Stand/Emotions/Negative/Angry_4, ***animations/Stand/Waiting/Headbang_1	
are_booed_by	***animations/Stand/Emotions/Positive/Shy_1, ***animations/Stand/Emotions/Positive/Shy_2	***sound:animations/Stand/Emotions/Negative/Angry_4
overthrow	**sound:animations/Stand/Emotions/Negative/Angry_4, *animations/Stand/Gestures/This_2	
are_overthrown_by	*animations/Stand/Waiting/Relaxation_3	**sound:animations/Stand/Emotions/Negative/Angry_4, *animations/Stand/Gestures/This_2
are_deposed_by		**sound:animations/Stand/Emotions/Negative/Angry_4
fight	***iconic_actions-4373e0/attack,*sound:animations/Stand/Emotions/Negative/Angry_4, **animations/Stand/Waiting/ShowMuscles_5, **sound:animations/Stand/Waiting/ShowMuscles_4, **animations/Stand/Waiting/Knight_1	
are_fought_by		***iconic_actions-4373e0/attack,*sound:animations/Stand/Emotions/Negative/Angry_4, **animations/Stand/Waiting/ShowMuscles_5, **sound:animations/Stand/Waiting/ShowMuscles_4, **animations/Stand/Waiting/Knight_1
fight_with	***iconic_actions-4373e0/attack,*sound:animations/Stand/Emotions/Negative/Angry_4, **animations/Stand/Waiting/ShowMuscles_5, **sound:animations/Stand/Waiting/ShowMuscles_4, **animations/Stand/Waiting/Knight_1	
fight_against	***iconic_actions-4373e0/attack,*sound:animations/Stand/Emotions/Negative/Angry_4, **animations/Stand/Waiting/ShowMuscles_5, **sound:animations/Stand/Waiting/ShowMuscles_4, *animations/Stand/Waiting/Knight_1	
are_intimidated_by	**animations/Stand/Emotions/Negative/Humiliated_1, **animations/Stand/Emotions/Negative/Anxious_1, ***animations/Stand/Emotions/Positive/Shy_1, ***animations/Stand/Emotions/Positive/Shy_2, ***animations/Stand/Emotions/Neutral/Innocent_1, **animations/Stand/Gestures/Surprised_1, **animations/Stand/Gestures/Shy_1	
intimidate		**animations/Stand/Emotions/Negative/Humiliated_1, **animations/Stand/Emotions/Negative/Anxious_1, ***animations/Stand/Emotions/Positive/Shy_1, ***animations/Stand/Emotions/Positive/Shy_2, ***animations/Stand/Emotions/Neutral/Innocent_1, **animations/Stand/Gestures/Surprised_1, **animations/Stand/Gestures/Shy_1
intimidate_with	**animations/Stand/Emotions/Negative/Anxious_1	**animations/Stand/Emotions/Negative/Humiliated_1, ***animations/Stand/Emotions/Positive/Shy_1, ***animations/Stand/Emotions/Positive/Shy_2, **animations/Stand/Gestures/Surprised_1
threaten_with	**animations/Stand/Gestures/No_4	**animations/Stand/Emotions/Negative/Humiliated_1, ***animations/Stand/Emotions/Positive/Shy_1, ***animations/Stand/Emotions/Positive/Shy_2, **animations/Stand/Gestures/Surprised_1
threaten	**sound:animations/Stand/Waiting/Monster_1, **animations/Stand/Gestures/No_4	**animations/Stand/Emotions/Negative/Humiliated_1, **animations/Stand/Emotions/Negative/Anxious_1, ***animations/Stand/Emotions/Positive/Shy_1, ***animations/Stand/Emotions/Positive/Shy_2, **animations/Stand/Gestures/Surprised_1, **animations/Stand/Gestures/Shy_1
are_threatened_by	**animations/Stand/Emotions/Negative/Humiliated_1, **animations/Stand/Emotions/Negative/Anxious_1, ***animations/Stand/Emotions/Positive/Shy_1, ***animations/Stand/Emotions/Positive/Shy_2, **animations/Stand/Gestures/Surprised_1, **animations/Stand/Gestures/Shy_1	
reject	*animations/Stand/Emotions/Negative/Humiliated_1, **animations/Stand/Gestures/No_2, *animations/Stand/Gestures/OnTheEvening_1, *animations/Stand/Gestures/Give_3, **animations/Stand/Gestures/No_1, **animations/Stand/Gestures/Reject_1, ***animations/Stand/Gestures/Reject_3, **animations/Stand/Gestures/Reject_4, *animations/Stand/Gestures/WhatSThis_16, *animations/Stand/Gestures/Reject_2, ***animations/Stand/Gestures/Reject_6	
are_rejected_by	**sound:animations/Stand/Emotions/Negative/Frustrated_1	*animations/Stand/Emotions/Negative/Humiliated_1, **animations/Stand/Gestures/No_2, *animations/Stand/Gestures/OnTheEvening_1, *animations/Stand/Gestures/Give_3, **animations/Stand/Gestures/No_1, **animations/Stand/Gestures/Reject_1, ***animations/Stand/Gestures/Reject_3, **animations/Stand/Gestures/Reject_4, *animations/Stand/Gestures/WhatSThis_16, *animations/Stand/Gestures/Reject_2, ***animations/Stand/Gestures/Reject_6
are_excommunicated_by	*sound:animations/Stand/Emotions/Negative/Exhausted_2, *animations/Stand/Emotions/Negative/Exhausted_1	
excommunicate		*sound:animations/Stand/Emotions/Negative/Exhausted_2, *animations/Stand/Emotions/Negative/Exhausted_1
are_defrocked_by	*sound:animations/Stand/Emotions/Negative/Exhausted_2, *animations/Stand/Emotions/Negative/Exhausted_1	
reject	*animations/Stand/Emotions/Negative/Humiliated_1, **animations/Stand/Gestures/No_2, *animations/Stand/Gestures/OnTheEvening_1, *animations/Stand/Gestures/Give_3, **animations/Stand/Gestures/No_1, **animations/Stand/Gestures/Reject_1, ***animations/Stand/Gestures/Reject_3, **animations/Stand/Gestures/Reject_4, *animations/Stand/Gestures/WhatSThis_16, *animations/Stand/Gestures/Reject_2, ***animations/Stand/Gestures/Reject_6	**sound:animations/Stand/Emotions/Negative/Frustrated_1
are_intrigued_by	**animations/Stand/Emotions/Negative/Anxious_1	
leave_behind	*animations/Stand/Emotions/Positive/Peaceful_1, *animations/Stand/Gestures/WhatSThis_4, **animations/Stand/Gestures/Reject_3	
are_drilled_by	**animations/Stand/Emotions/Positive/Enthusiastic_1, **animations/Stand/Waiting/Fitness_2	
agree_with	***animations/Stand/Emotions/Positive/Happy_4, ***animations/Stand/Emotions/Positive/Confident_1, ***animations/Stand/Emotions/Positive/Optimistic_1, *sound:animations/Stand/Emotions/Positive/Happy_2, **animations/Stand/Waiting/Rest_1, **animations/Stand/Gestures/Yes_1, **animations/Stand/Gestures/Yes_2, *animations/Stand/Gestures/Next_1, **animations/Stand/Gestures/CountOne_1, **animations/Stand/Gestures/Yes_3, **animations/Stand/Gestures/Enthusiastic_2, **animations/Stand/Gestures/Thinking_1, *animations/Stand/Gestures/Great_1, *animations/Stand/Gestures/Explain_5	
encourage	***animations/Stand/Emotions/Positive/Happy_4, **animations/Stand/Emotions/Positive/Hysterical_1, **animations/Stand/Gestures/WhatSThis_15, *animations/Stand/Gestures/JointHands_2	
are_encouraged_by	*animations/Stand/Gestures/JointHands_2	***animations/Stand/Emotions/Positive/Happy_4, **animations/Stand/Emotions/Positive/Hysterical_1, **animations/Stand/Gestures/WhatSThis_15
sweat_for	***animations/Stand/Emotions/Positive/Relieved_1, *animations/Stand/Waiting/ScratchEye_1	
are_saved_by	**animations/Stand/Emotions/Positive/Relieved_1	
save		**animations/Stand/Emotions/Positive/Relieved_1
rescue		**animations/Stand/Emotions/Positive/Relieved_1
are_rescued_by	**animations/Stand/Emotions/Positive/Relieved_1	
are_helped_by	**animations/Stand/Emotions/Positive/Relieved_1	
help		**animations/Stand/Emotions/Positive/Relieved_1
joke_about	***sound:animations/Stand/Emotions/Positive/Laugh_2, ***sound:animations/Stand/Emotions/Positive/Mocker_1, **sound:animations/Stand/Emotions/Positive/Amused_1, ***sound:animations/Stand/Emotions/Positive/Laugh_1, **sound:animations/Stand/Emotions/Positive/Laugh_3, *animations/Stand/Waiting/FunnySlide_1	
promote	***animations/Stand/Emotions/Positive/Excited_2, **animations/Stand/Gestures/ShowSky_11, *animations/Stand/Gestures/ShowSky_1	
are_promoted_by	**animations/Stand/Gestures/Salute_1	***animations/Stand/Emotions/Positive/Excited_2, **animations/Stand/Gestures/ShowSky_11, *animations/Stand/Gestures/ShowSky_1
are_entertained_by	***animations/Stand/Emotions/Positive/Excited_2, **animations/Stand/Gestures/Applause_1	
entertain	***animations/Stand/Emotions/Positive/Hysterical_1, **animations/Stand/Waiting/FunnySlide_1, **animations/Stand/Gestures/Stretch_1	***animations/Stand/Emotions/Positive/Excited_2, **animations/Stand/Gestures/Applause_1
popularize	***animations/Stand/Emotions/Positive/Excited_2, ***sound:animations/Stand/Emotions/Positive/Winner_2, **sound:animations/Stand/Emotions/Positive/Happy_3, **animations/Stand/Gestures/Applause_1	
are_popularized_by	***sound:animations/Stand/Emotions/Positive/Winner_2, **sound:animations/Stand/Emotions/Positive/Happy_3	***animations/Stand/Emotions/Positive/Excited_2, **animations/Stand/Gestures/Applause_1
lead_astray	***sound:animations/Stand/Emotions/Positive/Mocker_1, **animations/Stand/Gestures/Far_3, *animations/Stand/Gestures/Stretch_1	
lead	***sound:animations/Stand/Emotions/Positive/Mocker_1, ***animations/Stand/Gestures/Far_3, ***animations/Stand/Gestures/You_5, **animations/Stand/Gestures/You_1, ***animations/Stand/Gestures/ShowSky_5, **animations/Stand/Gestures/You_2, ***animations/Stand/Gestures/ShowSky_6, *animations/Stand/Gestures/This_11	
are_led_by	***animations/Stand/Gestures/ShowSky_5	***sound:animations/Stand/Emotions/Positive/Mocker_1, ***animations/Stand/Gestures/Far_3, ***animations/Stand/Gestures/You_5, **animations/Stand/Gestures/You_1, **animations/Stand/Gestures/You_2, ***animations/Stand/Gestures/ShowSky_6, *animations/Stand/Gestures/This_11
guide	***sound:animations/Stand/Emotions/Positive/Mocker_1, **animations/Stand/Gestures/Far_3, ***animations/Stand/Gestures/You_5, **animations/Stand/Gestures/You_1, ***animations/Stand/Gestures/ShowSky_5, **animations/Stand/Gestures/You_2, ***animations/Stand/Gestures/ShowSky_6, *animations/Stand/Gestures/This_11	
are_guided_by		***sound:animations/Stand/Emotions/Positive/Mocker_1, **animations/Stand/Gestures/Far_3, ***animations/Stand/Gestures/You_5, **animations/Stand/Gestures/You_1, ***animations/Stand/Gestures/ShowSky_5, **animations/Stand/Gestures/You_2, ***animations/Stand/Gestures/ShowSky_6, *animations/Stand/Gestures/This_11
support	***animations/Stand/Emotions/Positive/Confident_1	
are_supported_by		***animations/Stand/Emotions/Positive/Confident_1
are_appreciated_by	*animations/Stand/Gestures/Great_1	**animations/Stand/Emotions/Positive/Confident_1, *animations/Stand/Gestures/Yes_3, **animations/Stand/Gestures/CountMore_1
profit_from	**animations/Stand/Emotions/Positive/Excited_3	
are_thanked_by	*animations/Stand/Gestures/WhatSThis_15, *animations/Stand/Gestures/Applause_1	*animations/Stand/Emotions/Positive/Excited_3
are_entertained_by	***animations/Stand/Emotions/Positive/Excited_2, **animations/Stand/Gestures/Applause_1	***animations/Stand/Emotions/Positive/Hysterical_1, **animations/Stand/Waiting/FunnySlide_1, **animations/Stand/Gestures/Stretch_1
are_overrun_by	*animations/Stand/Reactions/Heat_2, *animations/Stand/Reactions/Heat_1, **sound:animations/Stand/Emotions/Negative/Hurt_2, *animations/Stand/Gestures/Everything_5	**animations/Stand/Emotions/Positive/Hysterical_1
