action	A (***strong, **medium, *weak)	B (***strong, **medium, *weak)
are_refused_payment_by	**animations/Stand/Gestures/Everything_1	*animations/Stand/BodyTalk/Speaking/BodyTalk_12, ***animations/Stand/BodyTalk/Speaking/BodyTalk_18, *animations/Stand/Gestures/Everything_4, *animations/Stand/Gestures/No_9
withold_payment_from	*animations/Stand/BodyTalk/Speaking/BodyTalk_12, ***animations/Stand/BodyTalk/Speaking/BodyTalk_18, *animations/Stand/Gestures/Everything_4, *animations/Stand/Gestures/No_9	
withhold_payment_from	*animations/Stand/BodyTalk/Speaking/BodyTalk_12, ***animations/Stand/BodyTalk/Speaking/BodyTalk_18, *animations/Stand/Gestures/Everything_4, *animations/Stand/Gestures/No_9	
beautify	***animations/Stand/BodyTalk/Speaking/BodyTalk_4	
enhance	***animations/Stand/BodyTalk/Speaking/BodyTalk_4, *animations/Stand/Gestures/ShowSky_7	
admire	***animations/Stand/BodyTalk/Speaking/BodyTalk_4	
are_admired_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_4
charm	***animations/Stand/BodyTalk/Speaking/BodyTalk_4	
are_charmed_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_4
sing_with	***iconic_actions-4373e0/sing,**animations/Stand/BodyTalk/Speaking/BodyTalk_4, *animations/Stand/Emotions/Positive/Interested_1, **animations/Stand/Gestures/ShowSky_12, *animations/Stand/Gestures/Shy_1, *animations/Stand/Gestures/Enthusiastic_4	
are_judged_by		**animations/Stand/BodyTalk/Speaking/BodyTalk_4, *animations/Stand/Gestures/Yes_2, ***animations/Stand/Gestures/This_7, ***animations/Stand/Gestures/This_6, **animations/Stand/Gestures/You_3
talk_through	**animations/Stand/BodyTalk/Speaking/BodyTalk_4, *animations/Stand/Gestures/Explain_8, **animations/Stand/Gestures/This_1, *animations/Stand/Gestures/HeSays_2	
act_via	**animations/Stand/BodyTalk/Speaking/BodyTalk_4	
praise	**animations/Stand/BodyTalk/Speaking/BodyTalk_4, ***sound:animations/Stand/Emotions/Positive/Happy_1, *sound:animations/Stand/Emotions/Positive/Winner_2, **sound:animations/Stand/Emotions/Positive/Happy_3, **animations/Stand/Waiting/Relaxation_2, **animations/Stand/Gestures/IDontKnow_6, ***animations/Stand/Gestures/ShowSky_8, **animations/Stand/Gestures/ShowSky_9, **animations/Stand/Gestures/ShowSky_4, **animations/Stand/Gestures/ShowSky_11, **animations/Stand/Gestures/ShowSky_1, **animations/Stand/Gestures/ShowSky_10	
create_for	*animations/Stand/BodyTalk/Speaking/BodyTalk_4, **animations/Stand/BodyTalk/Speaking/BodyTalk_2, **animations/Stand/BodyTalk/Speaking/BodyTalk_3, *animations/Stand/Waiting/ScratchHand_1, ***animations/Stand/Waiting/PlayHands_1, ***animations/Stand/Waiting/PlayHands_3, ***animations/Stand/Waiting/PlayHands_2, *animations/Stand/Gestures/ShowSky_7, ***animations/Stand/Gestures/JointHands_1	
silence	***animations/Stand/BodyTalk/Speaking/BodyTalk_18, **animations/Stand/Emotions/Positive/Peaceful_1, ***animations/Stand/Gestures/Everything_4, **animations/Stand/Gestures/CalmDown_6, *animations/Stand/Gestures/Wings_4, **animations/Stand/Gestures/Hey_7, *animations/Stand/Gestures/No_1, **animations/Stand/Gestures/OnTheEvening_4, *animations/Stand/Gestures/Wings_2, *animations/Stand/Gestures/CalmDown_2, *animations/Stand/Gestures/Wings_5, **animations/Stand/Gestures/CalmDown_5, *animations/Stand/Gestures/OnTheEvening_5, **animations/Stand/Gestures/CalmDown_4, **animations/Stand/Gestures/CalmDown_1, **animations/Stand/Gestures/Everything_6, **animations/Stand/Gestures/CalmDown_3, *animations/Stand/Gestures/Nothing_1, **animations/Stand/Gestures/Nothing_2, **animations/Stand/Gestures/Everything_1, **animations/Stand/Gestures/Claw_1, *animations/Stand/Gestures/OnTheEvening_3, *animations/Stand/Gestures/Everything_2	
are_silenced_by	**animations/Stand/Emotions/Neutral/Innocent_1, **animations/Stand/Emotions/Neutral/Lonely_1, ***animations/Stand/Gestures/Everything_4, **animations/Stand/Gestures/OnTheEvening_4, **animations/Stand/Gestures/Everything_6, **animations/Stand/Gestures/CalmDown_3	***animations/Stand/BodyTalk/Speaking/BodyTalk_18, **animations/Stand/Emotions/Positive/Peaceful_1, **animations/Stand/Gestures/CalmDown_6, *animations/Stand/Gestures/Wings_4, **animations/Stand/Gestures/Hey_7, *animations/Stand/Gestures/No_1, *animations/Stand/Gestures/Wings_2, *animations/Stand/Gestures/CalmDown_2, *animations/Stand/Gestures/Wings_5, **animations/Stand/Gestures/CalmDown_5, *animations/Stand/Gestures/OnTheEvening_5, **animations/Stand/Gestures/CalmDown_4, **animations/Stand/Gestures/CalmDown_1, *animations/Stand/Gestures/Nothing_1, **animations/Stand/Gestures/Nothing_2, **animations/Stand/Gestures/Everything_1, **animations/Stand/Gestures/Claw_1, *animations/Stand/Gestures/OnTheEvening_3, *animations/Stand/Gestures/Everything_2
undermine	***animations/Stand/BodyTalk/Speaking/BodyTalk_18	
are_undermined_by		***animations/Stand/BodyTalk/Speaking/BodyTalk_18
appease	***animations/Stand/BodyTalk/Speaking/BodyTalk_18, **animations/Stand/Reactions/SeeSomething_8, ***animations/Stand/Gestures/Wings_4, **animations/Stand/Gestures/OnTheEvening_2, **animations/Stand/Gestures/Wings_2, **animations/Stand/Gestures/CalmDown_2, **animations/Stand/Gestures/Wings_5, **animations/Stand/Gestures/ShowFloor_2, ***animations/Stand/Gestures/CalmDown_5, **animations/Stand/Gestures/OnTheEvening_5, ***animations/Stand/Gestures/CalmDown_4, ***animations/Stand/Gestures/CalmDown_1, ***animations/Stand/Gestures/Everything_6, ***animations/Stand/Gestures/CalmDown_3, ***animations/Stand/Gestures/Claw_1, **animations/Stand/Gestures/OnTheEvening_3, **animations/Stand/Gestures/Everything_2	
