gesture	time	strong	moderate 	weak
animations/Stand/Emotions/Positive/Optimistic_1	6.808026791	agree_with 	trust,*are_trusted_by,believe_in,confide_in,rely_on,are_moved_by,feel_sorry_for	
animations/Stand/Emotions/Positive/Shy_1	7.899564981	are_intimidated_by,*intimidate,*intimidate_with,*threaten_with,*threaten,are_threatened_by,are_booed_by 		
*animations/Stand/Emotions/Positive/Laugh_1	6.729378939	laugh_at,joke_about 	humiliate,*are_humiliated_by	
*animations/Stand/Emotions/Positive/Winner_2	6.870208979	popularize,are_popularized_by,champion,*are_championed_by	are_elected_by,*elect	praise 
animations/Stand/Emotions/Positive/Proud_3	5.969486952	resist,*are_resisted_by,are_summoned_by,*summon	stand_up_to 	ignore,*are_ignored_by,tune_out  
*animations/Stand/Emotions/Positive/Interested_2	2.543410063	attend_to,*are_attended_by,attend,serve,*are_served_by	minister_to 	propose_to 
animations/Stand/Emotions/Positive/Excited_1	#N/A		are_impressed_by,*impress	
*animations/Stand/Emotions/Positive/Happy_2	1.815334082		abduct,*are_abducted_by,kidnap,*are_kidnapped_by,snatch,*are_snatched_by,catch,*are_caught_by,capture,*are_captured_by	agree_with 
animations/Stand/Emotions/Positive/Shy_2	7.793303013	are_intimidated_by,*intimidate,*intimidate_with,*threaten_with,*threaten,are_threatened_by,are_booed_by 		
*animations/Stand/Emotions/Positive/Laugh_3	1.762395144		laugh_at,joke_about	humiliate,*are_humiliated_by
*animations/Stand/Emotions/Positive/Happy_3	1.848618031		praise,popularize,are_popularized_by,campaign_for,propagandize_for 	
animations/Stand/Emotions/Positive/Sure_1	8.539632082	guard,*are_guarded_by,defend,*are_defended_by,protect,*are_protected_by	are_shielded_by 	
*animations/Stand/Emotions/Positive/Winner_1	5.151293993	campaign_for,propagandize_for ,champion,are_championed_by 	campaign_against 	
animations/Stand/Emotions/Neutral/Hello_1	4.797866106	welcome,*are_welcomed_by,*are_greeted_by 		
*animations/Stand/Emotions/Neutral/AskForAttention_3	4.084889174	heckle,*are_heckled_by 	*are_cut_off_by 	disagree_with, confer_with
animations/Stand/Emotions/Neutral/Innocent_1	7.926376104	are_intimidated_by,*intimidate	are_abandoned_by,*abandon,*alienate,are_silenced_by,*silence,are_embarrassed_by,*embarrass	fear,*are_feared_by,listen_to 
*animations/Stand/Emotions/Neutral/Hesitation_1	9.07832098			grow_suspicious_of 
*animations/Stand/Emotions/Neutral/AskForAttention_1	4.56328392	heckle,*are_heckled_by 	*are_cut_off_by 	disagree_with, confer_with
animations/Stand/Emotions/Neutral/Confused_1	6.665616989	are_driven_mad_by 	*cause_trouble_for,	
*animations/Stand/Emotions/Neutral/Sneeze	3.027025938		are_sickened_by 	
animations/Stand/Emotions/Neutral/Cautious_1	4.65240407	grow_suspicious_of 	are_uncovered_by 	
animations/Stand/Emotions/Neutral/Determined_1	3.873946905	delegate_to	control,*are_controlled_by,command,*are_commanded_by 	
animations/Stand/Emotions/Neutral/Annoyed_1	5.577128887		disagree_with 	are_disappointed_by,*disappoint 
animations/Stand/Emotions/Neutral/Lonely_1	7.245751143	are_abandoned_by,*abandon,*disappoint, are_disappointed_by,*leave_behind 	are_silenced_by,*silence,are_embarrassed_by,*embarrass	
*animations/Stand/Emotions/Neutral/AskForAttention_2	4.423243999	welcome,*are_welcomed_by,*are_greeted_by,heckle,*are_heckled_by 		
animations/Stand/Emotions/Neutral/Stubborn_1	3.835860968		debate,*are_debated_by,debate_with,argue_with	manipulate,*are_manipulated_by
animations/Stand/Emotions/Neutral/Suspicious_1	7.086642027		grow_suspicious_of,mystify,*are_mystified_by,hide_from 	
