lose_faith_in	animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/No_8, animations/Stand/Gestures/No_6, animations/Stand/Gestures/Desperate_5	animations/Stand/Emotions/Negative/Exhausted_1, animations/Stand/Gestures/Desperate_4, animations/Stand/Gestures/No_8, animations/Stand/Gestures/No_6, animations/Stand/Gestures/Desperate_5
are_pushed_too_far_by	animations/Stand/Emotions/Negative/Exhausted_1	animations/Stand/Emotions/Negative/Exhausted_1
lay_a_trap_for		
operate_on	animations/Stand/BodyTalk/Speaking/BodyTalk_9, animations/Stand/Waiting/ScratchLeg_1	animations/Stand/BodyTalk/Speaking/BodyTalk_9, animations/Stand/Waiting/ScratchLeg_1
propose_to		
marry	animations/Stand/BodyTalk/Speaking/BodyTalk_9	animations/Stand/BodyTalk/Speaking/BodyTalk_9
consort_with		
are_snatched_by		
snatch	animations/Stand/Gestures/Great_1	animations/Stand/Gestures/Great_1
catch		
are_caught_by		
capture		
are_captured_by		
export_from		
borrow_from	animations/Stand/Gestures/Me_8	animations/Stand/Gestures/Me_8
lend_to	animations/Stand/Gestures/Give_2	animations/Stand/Gestures/Give_2
deploy		
are_deployed_by		
are_fielded_by		
translate_for	animations/Stand/Gestures/HeSays_2	animations/Stand/Gestures/HeSays_2
fail_to_deliver_for	animations/Stand/Gestures/WhatSThis_5, animations/Stand/Gestures/IDontKnow_1	animations/Stand/Gestures/WhatSThis_5, animations/Stand/Gestures/IDontKnow_1
disrespect		
are_disrespected_by		
offend		
are_offended_by		
insult		
are_insulted_by		
mock		
are_mocked_by		
unleash	animations/Stand/Gestures/WhatSThis_16	animations/Stand/Gestures/WhatSThis_16
give_birth_to	animations/Stand/Gestures/Yum_1	animations/Stand/Gestures/Yum_1
receive	animations/Stand/Gestures/Yum_1	animations/Stand/Gestures/Yum_1
are_received_by		
pitch_at		
cater_to		
cede_power_to		
spread_lies_about		
enlist		
are_enlisted_by		
are_lectured_by		
lecture_to		
coach		
are_coached_by		
teach		
are_taught_by		
mentor		
are_mentored_by		
are_tutored_by		
educate		
are_educated_by		
instruct		
are_instructed_by		
study_under		
evaluate		
evaluate_with		
are_evaluated_by		
compose_with		
convert		
are_converted_by		
consult		
consult_with		
persuade	animations/Stand/Gestures/Thinking_1	animations/Stand/Gestures/Thinking_1
are_persuaded_by		
advise	animations/Stand/Gestures/Explain_1	animations/Stand/Gestures/Explain_1
are_advised_by		
counsel		
are_counseled_by		
are_counselled_by		
are_probed_by		
negotiate_with	animations/Stand/Gestures/Explain_1	animations/Stand/Gestures/Explain_1
negotiate_for	animations/Stand/Gestures/Explain_1	animations/Stand/Gestures/Explain_1
interpret_for		
interact_with		
are_hardened_by		
harden_toward		
perform_for		
perform_with		
search_for	animations/Stand/Reactions/SeeSomething_5, animations/Stand/Gestures/Thinking_2	animations/Stand/Reactions/SeeSomething_5, animations/Stand/Gestures/Thinking_2
look_for	animations/Stand/Reactions/SeeSomething_5, animations/Stand/Gestures/Thinking_2	animations/Stand/Reactions/SeeSomething_5, animations/Stand/Gestures/Thinking_2
are_sought_by		
seek	animations/Stand/Reactions/SeeSomething_5, animations/Stand/Gestures/Thinking_2	animations/Stand/Reactions/SeeSomething_5, animations/Stand/Gestures/Thinking_2
are_tracked_by		
track_down	animations/Stand/Reactions/SeeSomething_5	animations/Stand/Reactions/SeeSomething_5
hunt	animations/Stand/Reactions/SeeSomething_5	animations/Stand/Reactions/SeeSomething_5
are_hunted_by		
fear	animations/Stand/Emotions/Neutral/Innocent_1	animations/Stand/Emotions/Neutral/Innocent_1
are_feared_by		
are_disgusted_by	animations/Stand/Reactions/BumperRight_1, animations/Stand/Reactions/SeeSomething_6, animations/Stand/Reactions/BumperLeft_1, animations/Stand/Reactions/Bumpers_1, animations/Stand/Reactions/Bumpers_3, animations/Stand/Reactions/Bumpers_2	animations/Stand/Reactions/BumperRight_1, animations/Stand/Reactions/SeeSomething_6, animations/Stand/Reactions/BumperLeft_1, animations/Stand/Reactions/Bumpers_1, animations/Stand/Reactions/Bumpers_3, animations/Stand/Reactions/Bumpers_2
disgust		
are_shocked_by	animations/Stand/Emotions/Negative/Shocked_1, animations/Stand/Gestures/WhatSThis_13	animations/Stand/Emotions/Negative/Shocked_1, animations/Stand/Gestures/WhatSThis_13
are_haunted_by		
haunt		
terrorize		
are_hurt_by		
hurt		
blow_up		
are_investigated_by		
examine		
are_examined_by		
are_manipulated_by		
manipulate		
are_brainwashed_by		
brainwash		
abet		
baptise		
baptize		
point		
are_baptized_by		
are_influenced_by		
hit		
whip		
are_whipped_by		
influence		
indoctrinate		
are_indoctrinated_by		
are_traumatized_by	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1	animations/Stand/Reactions/Heat_2, animations/Stand/Reactions/Heat_1
delegate_to	animations/Stand/Reactions/SeeSomething_8, animations/Stand/Gestures/This_10	animations/Stand/Reactions/SeeSomething_8, animations/Stand/Gestures/This_10
watch_over	animations/Stand/Reactions/SeeSomething_8	animations/Stand/Reactions/SeeSomething_8
look_after	animations/Stand/Reactions/SeeSomething_8	animations/Stand/Reactions/SeeSomething_8
_supervise	animations/Stand/Reactions/SeeSomething_8	animations/Stand/Reactions/SeeSomething_8
are_supervised_by		
monitor	animations/Stand/Reactions/SeeSomething_8	animations/Stand/Reactions/SeeSomething_8
are_monitored_by		
are_overlooked_by		
show_loyalty_to	animations/Stand/Reactions/EthernetOff_1, animations/Stand/Gestures/BowShort_1, animations/Stand/Gestures/Salute_2	animations/Stand/Reactions/EthernetOff_1, animations/Stand/Gestures/BowShort_1, animations/Stand/Gestures/Salute_2
